star.ID,food.treatment,air.treatment,mussel.ID,Date Eaten,time,Length(mm),Width(mm),Weight(g),status
VW_2023_ind11,Fed,30,1,Aug-11-23,10,20.7,12.6,0.317,2
VW_2023_ind11,Fed,30,2,Aug-11-23,10,20.3,11.2,0.331,2
VW_2023_ind11,Fed,30,3,Aug-11-23,10,16.7,19.6,0.174,2
VW_2023_ind11,Fed,30,4,Aug-13-23,12,16,9.7,0.171,2
VW_2023_ind11,Fed,30,5,Aug-14-23,13,21.4,11.1,0.397,2
VW_2023_ind11,Fed,30,6,Aug-16-23,15,21.2,11,0.385,2
VW_2023_ind11,Fed,30,7,Aug-17-23,16,18.3,9,0.193,2
VW_2023_ind12,Fed,30,1,Aug-12-23,11,13.4,7.5,0.114,2
VW_2023_ind12,Fed,30,2,Aug-16-23,15,17.1,9.6,0.158,2
VW_2023_ind12,Fed,30,3,Aug-17-23,16,15.5,8.7,0.144,2
VW_2023_ind16,Fed,25,1,Aug-7-23,6,12.6,8.8,0.087,2
VW_2023_ind16,Fed,25,2,Aug-10-23,9,12.8,6.7,0.096,2
VW_2023_ind16,Fed,25,3,Aug-10-23,9,12.5,11.8,0.074,2
VW_2023_ind16,Fed,25,4,Aug-11-23,10,16.4,9,0.172,2
VW_2023_ind16,Fed,25,5,Aug-13-23,12,14.2,7.4,0.105,2
VW_2023_ind16,Fed,25,6,Aug-15-23,14,11.5,6.6,0.071,2
VW_2023_ind16,Fed,25,7,Aug-15-23,14,10.9,6.2,0.058,2
VW_2023_ind16,Fed,25,8,Aug-16-23,15,11.9,6.8,0.063,2
VW_2023_ind16,Fed,25,9,Aug-17-23,16,13.7,8.3,0.134,2
VW_2023_ind17,Fed,25,1,Aug-11-23,10,15,8.6,0.139,2
VW_2023_ind17,Fed,25,2,Aug-12-23,11,15,7.9,0.139,2
VW_2023_ind17,Fed,25,3,Aug-14-23,13,15.1,8.7,0.159,2
VW_2023_ind17,Fed,25,4,Aug-14-23,13,12.8,7.4,0.088,2
VW_2023_ind17,Fed,25,5,Aug-14-23,13,11.6,6.7,0.061,2
VW_2023_ind17,Fed,25,6,Aug-15-23,14,18.8,10.2,0.285,2
VW_2023_ind17,Fed,25,7,Aug-15-23,14,14.9,8.9,0.116,2
VW_2023_ind22,Fed,25,1,Aug-6-23,5,15.7,8.1,0.114,2
VW_2023_ind22,Fed,25,2,Aug-7-23,6,13.5,7.3,0.088,2
VW_2023_ind22,Fed,25,3,Aug-9-23,8,15,8.4,0.121,2
VW_2023_ind22,Fed,25,4,Aug-9-23,8,9,5.5,0.036,2
VW_2023_ind22,Fed,25,5,Aug-10-23,9,16,9.6,0.248,2
VW_2023_ind22,Fed,25,6,Aug-12-23,11,13.2,7.6,0.108,2
VW_2023_ind22,Fed,25,7,Aug-13-23,12,10.3,5.7,0.057,2
VW_2023_ind22,Fed,25,8,Aug-14-23,13,14.1,7.7,0.128,2
VW_2023_ind22,Fed,25,9,Aug-15-23,14,8.5,4.7,0.031,2
VW_2023_ind22,Fed,25,10,Aug-17-23,16,10.5,5.3,0.038,2
VW_2023_ind22,Fed,25,11,Aug-17-23,16,8.7,5.1,0.033,2
VW_2023_ind32,Fed,25,1,Aug-6-23,5,20.3,12,0.35,2
VW_2023_ind32,Fed,25,2,Aug-9-23,8,26.6,15,0.505,2
VW_2023_ind32,Fed,25,3,Aug-9-23,8,20,11.4,0.269,2
VW_2023_ind32,Fed,25,4,Aug-11-23,10,31.2,16.5,0.857,2
VW_2023_ind32,Fed,25,5,Aug-11-23,10,19,11.5,0.244,2
VW_2023_ind32,Fed,25,6,Aug-14-23,13,24.4,12.3,0.603,2
VW_2023_ind32,Fed,25,7,Aug-16-23,15,27.6,14.4,0.703,2
VW_2023_ind32,Fed,25,8,Aug-17-23,16,31.8,17.8,0.93,2
VW_2023_ind35,Fed,25,1,Aug-5-23,4,26.5,14.1,0.535,2
VW_2023_ind35,Fed,25,2,Aug-7-23,6,17.8,9.5,0.25,2
VW_2023_ind35,Fed,25,3,Aug-13-23,12,14.3,7.4,0.115,2
VW_2023_ind35,Fed,25,4,Aug-13-23,12,14,8.3,0.153,2
VW_2023_ind35,Fed,25,5,Aug-14-23,13,18.2,10.3,0.217,2
VW_2023_ind35,Fed,25,6,Aug-14-23,13,12.5,7.3,0.088,2
VW_2023_ind35,Fed,25,7,Aug-15-23,14,9.7,5,0.04,2
VW_2023_ind35,Fed,25,8,Aug-16-23,15,19.6,9.9,0.236,2
VW_2023_ind35,Fed,25,9,Aug-17-23,16,7.3,4.4,0.016,2
VW_2023_ind35,Fed,25,10,Aug-17-23,16,6.2,3.8,0.009,2
VW_2023_ind4,Fed,30,1,Aug-10-23,9,10.8,5.5,0.054,2
VW_2023_ind4,Fed,30,2,Aug-11-23,10,8.6,5.1,0.029,2
VW_2023_ind4,Fed,30,3,Aug-12-23,11,13.9,7.8,0.127,2
VW_2023_ind4,Fed,30,4,Aug-12-23,11,16.5,9.3,0.203,2
VW_2023_ind4,Fed,30,5,Aug-13-23,12,15.6,8,0.148,2
VW_2023_ind4,Fed,30,6,Aug-14-23,13,9.4,5.4,0.028,2
VW_2023_ind4,Fed,30,7,Aug-16-23,15,14.2,8.1,0.103,2
VW_2023_ind4,Fed,30,8,Aug-16-23,15,10.7,8.1,0.137,2
VW_2023_ind46,Fed,25,1,Aug-10-23,9,13.5,11.7,0.08,2
VW_2023_ind46,Fed,25,2,Aug-11-23,10,10,5.7,0.06,2
VW_2023_ind46,Fed,25,3,Aug-12-23,11,11.1,6.2,0.058,2
VW_2023_ind46,Fed,25,4,Aug-13-23,12,12.5,7.4,0.085,2
VW_2023_ind46,Fed,25,5,Aug-14-23,13,9.3,5.2,0.034,2
VW_2023_ind46,Fed,25,6,Aug-15-23,14,12,6.9,0.067,2
VW_2023_ind46,Fed,25,7,Aug-15-23,14,6.8,4.3,0.014,2
VW_2023_ind46,Fed,25,8,Aug-16-23,15,15.2,8.5,0.194,2
VW_2023_ind48,Fed,30,1,Aug-6-23,5,25.7,13.7,0.596,2
VW_2023_ind5,Fed,25,1,Aug-5-23,4,16.3,9.4,0.234,2
VW_2023_ind5,Fed,25,2,Aug-7-23,6,15.3,9.2,0.229,2
VW_2023_ind5,Fed,25,3,Aug-8-23,7,32.3,18.8,1.513,2
Vw_2023_ind5,Fed,25,4,Aug-9-23,8,14.6,8.3,0.129,2
VW_2023_ind5,Fed,25,5,Aug-12-23,11,19.4,11,0.318,2
VW_2023_ind5,Fed,25,6,Aug-13-23,12,23.2,13.5,0.494,2
VW_2023_ind5,Fed,25,7,Aug-14-23,13,26.4,12.7,0.494,2
VW_2023_ind5,Fed,25,8,Aug-15-23,14,17.7,10,0.191,2
VW_2023_ind5,Fed,25,9,Aug-17-23,16,15.5,8.3,0.125,2
VW_2023_ind50,Fed,25,1,Aug-9-23,8,12.5,7.3,0.083,2
VW_2023_ind50,Fed,25,2,Aug-10-23,9,10.5,5.6,0.048,2
VW_2023_ind50,Fed,25,3,Aug-11-23,10,9.4,5.4,0.028,2
VW_2023_ind50,Fed,25,4,Aug-12-23,11,14.2,7.3,0.062,2
VW_2023_ind50,Fed,25,5,Aug-12-23,11,10.5,6.3,0.125,2
VW_2023_ind50,Fed,25,6,Aug-13-23,12,9,5,0.033,2
VW_2023_ind50,Fed,25,7,Aug-14-23,13,9.9,5.3,0.03,2
VW_2023_ind50,Fed,25,8,Aug-15-23,14,9.4,5,0.031,2
VW_2023_ind50,Fed,25,9,Aug-16-23,15,17.3,10,0.228,2
VW_2023_ind50,Fed,25,10,Aug-16-23,15,8,4.9,0.026,2
VW_2023_ind50,Fed,25,11,Aug-17-23,16,9.3,5.4,0.042,2
VW_2023_ind6,Fed,30,1,Aug-8-23,7,8.8,5.7,0.028,2
VW_2023_ind6,Fed,30,2,Aug-11-23,10,7.7,4.5,0.02,2
VW_2023_ind6,Fed,30,3,Aug-11-23,10,12.4,7,0.081,2
VW_2023_ind6,Fed,30,4,Aug-13-23,12,14.3,7.6,0.125,2
